trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
91,False,"{'a': 0.3, 'e': 0.21900668709304172}",20,0,-107.05361487685434,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 3}",0
92,False,"{'a': 0.3, 'e': 0.20434674777352183}",20,10,14.33239461938366,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.3, 'e': 0.18964083129783446}",20,5,25.25365454959925,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.3, 'e': 0.17489224643514614}",25,15,19.46775460985961,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.3, 'e': 0.16010431155483126}",20,14,-9.796951380772725,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
96,False,"{'a': 0.3, 'e': 0.14528035387985133}",25,7,23.96140014395145,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
97,False,"{'a': 0.3, 'e': 0.13042370873814554}",30,13,23.052540114149924,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.3, 'e': 0.11553771881219457}",20,15,7.683186762311321,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.3, 'e': 0.10062573338693173}",25,2,30.964745724531962,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
100,False,"{'a': 0.3, 'e': 0.08569110759616867}",30,11,16.114080945495814,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
101,False,"{'a': 0.3, 'e': 0.0707372016677029}",20,3,28.714364025421318,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.3, 'e': 0.055767380167282464}",20,15,9.627238976100244,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.3, 'e': 0.040785011241591035}",25,13,21.96410036167921,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,10,15.773872805008452,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",30,22,15.687915295128686,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",30,8,40.48448697240652,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,17,17.373249756643137,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",35,24,23.063370485700972,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",30,19,16.156147357109216,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,8,25.30679610544658,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",35,19,28.170623132053557,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,12,24.449651760794335,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,1,29.798817802040112,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0, 'e': 0}",20,13,13.209095136680522,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0, 'e': 0}",20,14,14.30719556271293,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0, 'e': 0}",30,13,27.467047955104135,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0, 'e': 0}",25,13,20.384891959813736,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'a': 0, 'e': 0}",25,11,27.037014511198684,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,True,"{'a': 0, 'e': 0}",30,16,28.86484235584031,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,True,"{'a': 0, 'e': 0}",25,15,19.959071049761555,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,True,"{'a': 0, 'e': 0}",25,18,14.668095580758523,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,True,"{'a': 0, 'e': 0}",35,23,22.911365681659333,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,True,"{'a': 0, 'e': 0}",30,22,17.974904373574354,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
